# HATS verification results for
# /data3/epyc/data3/hats/catalogs/v06/des_dr2/des_dr2
# Package versions: hats v0.6.2; hats-import v0.6.2
# User-supplied truth schema: None
# User-supplied truth total rows: None
datetime,passed,test,target,description,bad_files
2025/08/12 13:05:29 UTC,True,valid hats,des_dr2,Test hats.io.validation.is_valid_catalog.,[]
2025/08/12 13:05:29 UTC,True,file sets,_metadata vs data files,Test that files in _metadata match the data files on disk.,[]
2025/08/12 13:06:09 UTC,True,num rows,file footers vs catalog properties,"Test that number of rows are equal. file footers (662,428,385) vs catalog properties (662,428,385).",[]
2025/08/12 13:06:09 UTC,True,num rows,file footers vs _metadata,"Test that number of rows are equal. file footers (662,428,385) vs _metadata (662,428,385).",[]
2025/08/12 13:06:09 UTC,True,schema,_common_metadata vs truth,"Test that schemas are equal, excluding metadata.",[]
2025/08/12 13:06:09 UTC,True,schema,_metadata vs truth,"Test that schemas are equal, excluding metadata.",[]
2025/08/12 13:06:10 UTC,True,schema,file footers vs truth,"Test that schemas are equal, excluding metadata.",[]
