Norder,Npix,Dir
2,0,0
2,2,0
2,17,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,28,0
2,29,0
2,34,0
2,35,0
2,40,0
2,41,0
2,42,0
2,43,0
2,44,0
2,46,0
2,64,0
2,65,0
2,66,0
2,67,0
2,68,0
2,69,0
2,70,0
2,71,0
2,73,0
2,76,0
2,77,0
2,90,0
2,102,0
2,103,0
2,105,0
2,107,0
2,108,0
2,109,0
2,110,0
2,111,0
2,131,0
2,134,0
2,135,0
2,136,0
2,137,0
2,138,0
2,139,0
2,140,0
2,141,0
2,142,0
2,143,0
2,181,0
3,4,0
3,5,0
3,6,0
3,7,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,18,0
3,24,0
3,32,0
3,33,0
3,34,0
3,35,0
3,36,0
3,37,0
3,38,0
3,40,0
3,41,0
3,42,0
3,53,0
3,55,0
3,61,0
3,62,0
3,63,0
3,64,0
3,65,0
3,66,0
3,67,0
3,72,0
3,73,0
3,74,0
3,75,0
3,96,0
3,97,0
3,98,0
3,99,0
3,100,0
3,101,0
3,102,0
3,103,0
3,104,0
3,105,0
3,107,0
3,108,0
3,109,0
3,110,0
3,111,0
3,120,0
3,121,0
3,122,0
3,123,0
3,124,0
3,125,0
3,126,0
3,127,0
3,128,0
3,129,0
3,130,0
3,131,0
3,132,0
3,133,0
3,134,0
3,135,0
3,144,0
3,145,0
3,146,0
3,147,0
3,148,0
3,149,0
3,150,0
3,151,0
3,152,0
3,153,0
3,154,0
3,155,0
3,156,0
3,157,0
3,158,0
3,159,0
3,180,0
3,181,0
3,182,0
3,183,0
3,188,0
3,189,0
3,190,0
3,191,0
3,193,0
3,196,0
3,197,0
3,199,0
3,208,0
3,209,0
3,210,0
3,212,0
3,213,0
3,234,0
3,235,0
3,238,0
3,239,0
3,250,0
3,251,0
3,252,0
3,253,0
3,254,0
3,255,0
3,288,0
3,289,0
3,290,0
3,291,0
3,296,0
3,297,0
3,298,0
3,299,0
3,300,0
3,301,0
3,302,0
3,303,0
3,312,0
3,313,0
3,314,0
3,315,0
3,316,0
3,317,0
3,318,0
3,319,0
3,320,0
3,321,0
3,322,0
3,323,0
3,328,0
3,329,0
3,330,0
3,331,0
3,332,0
3,334,0
3,340,0
3,341,0
3,343,0
3,349,0
3,351,0
3,352,0
3,353,0
3,354,0
3,355,0
3,356,0
3,357,0
3,358,0
3,359,0
3,364,0
3,365,0
3,366,0
3,367,0
3,376,0
3,378,0
3,384,0
3,385,0
3,386,0
3,387,0
3,388,0
3,389,0
3,390,0
3,391,0
3,392,0
3,393,0
3,394,0
3,395,0
3,396,0
3,397,0
3,398,0
3,399,0
3,400,0
3,401,0
3,402,0
3,403,0
3,404,0
3,405,0
3,406,0
3,407,0
3,416,0
3,417,0
3,418,0
3,419,0
3,424,0
3,425,0
3,426,0
3,427,0
3,482,0
3,483,0
3,488,0
3,489,0
3,490,0
3,491,0
3,492,0
3,493,0
3,494,0
3,495,0
3,506,0
3,507,0
3,510,0
3,511,0
3,512,0
3,513,0
3,514,0
3,515,0
3,518,0
3,519,0
3,521,0
3,522,0
3,523,0
3,529,0
3,530,0
3,531,0
3,532,0
3,533,0
3,534,0
3,535,0
3,576,0
3,578,0
3,599,0
3,605,0
3,606,0
3,607,0
3,608,0
3,610,0
3,616,0
3,618,0
3,628,0
3,629,0
3,630,0
3,631,0
3,636,0
3,637,0
3,638,0
3,639,0
3,683,0
3,685,0
3,686,0
3,687,0
3,691,0
3,694,0
3,695,0
3,696,0
3,697,0
3,698,0
3,699,0
3,700,0
3,701,0
3,702,0
3,703,0
3,704,0
3,705,0
3,706,0
3,707,0
3,708,0
3,709,0
3,710,0
3,711,0
3,713,0
3,716,0
3,717,0
3,718,0
3,719,0
3,720,0
3,721,0
3,722,0
3,723,0
3,728,0
3,729,0
3,730,0
3,731,0
3,732,0
3,733,0
3,734,0
3,735,0
3,740,0
3,741,0
3,743,0
3,752,0
3,753,0
3,754,0
3,755,0
3,756,0
3,757,0
3,758,0
3,759,0
3,761,0
3,764,0
3,765,0
3,767,0
4,68,0
4,69,0
4,70,0
4,71,0
4,76,0
4,77,0
4,78,0
4,79,0
4,80,0
4,81,0
4,82,0
4,83,0
4,84,0
4,85,0
4,86,0
4,87,0
4,88,0
4,89,0
4,90,0
4,91,0
4,92,0
4,93,0
4,94,0
4,95,0
4,100,0
4,101,0
4,102,0
4,103,0
4,104,0
4,105,0
4,106,0
4,107,0
4,108,0
4,109,0
4,110,0
4,111,0
4,112,0
4,113,0
4,114,0
4,115,0
4,116,0
4,117,0
4,118,0
4,119,0
4,120,0
4,121,0
4,122,0
4,123,0
4,124,0
4,125,0
4,126,0
4,127,0
4,156,0
4,157,0
4,158,0
4,159,0
4,172,0
4,173,0
4,174,0
4,175,0
4,176,0
